CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
VOLKS ,TROC  ,SIL,2023,2
VOLKS ,TROC  ,SIL,2024,12
VOLKS ,TROC  ,WHI,2023,7
VOLKS ,TROC  ,WHI,2024,46
VOLKS ,TROC S,SIL,2024,1
VOLVO ,B0EBZL,WHI,2024,1
VOLVO ,B11R  ,WHI,2024,1
VOLVO ,B8R   ,WHI,2024,4
VOLVO ,B8R EU,WHI,2024,1
VOLVO ,B8RLE ,WHI,2024,3
VOLVO ,C40   ,BLK,2023,1
VOLVO ,C40   ,BLU,2023,1
VOLVO ,C40   ,BLU,2024,2
VOLVO ,C40   ,RED,2023,1
VOLVO ,C40   ,SIL,2024,2
VOLVO ,C40   ,WHI,2023,3
VOLVO ,C40   ,WHI,2024,1
VOLVO ,C40 RE,BLU,2023,1
VOLVO ,C40 RE,BLU,2024,1
VOLVO ,CX60  ,GRY,2024,1
VOLVO ,EX30  ,BLK,2024,18
VOLVO ,EX30  ,BLU,2024,31
VOLVO ,EX30  ,GRY,2024,22
VOLVO ,EX30  ,WHI,2024,19
VOLVO ,EX30  ,YLW,2024,5
VOLVO ,EX30 E,WHI,2024,1
VOLVO ,EX90 R,WHI,2024,1
VOLVO ,FE280 ,WHI,2023,1
VOLVO ,FE280 ,WHI,2024,5
VOLVO ,FE320 ,WHI,2024,8
VOLVO ,FE320 ,YLW,2023,1
VOLVO ,FE350 ,WHI,2024,2
VOLVO ,FH    ,WHI,2023,2
VOLVO ,FH540 ,RED,2024,5
VOLVO ,FH540 ,WHI,2023,1
VOLVO ,FH540 ,WHI,2024,2
VOLVO ,FH550 ,RED,2024,1
VOLVO ,FH600 ,GRY,2024,1
VOLVO ,FH600 ,SIL,2024,1
VOLVO ,FH600 ,WHI,2023,4
VOLVO ,FH600 ,WHI,2024,7
VOLVO ,FH700 ,WHI,2024,2
VOLVO ,FHCCAB,WHI,2023,1
VOLVO ,FM    ,BLU,2024,1
VOLVO ,FM    ,WHI,2023,1
VOLVO ,FM 6X4,WHI,2024,1
VOLVO ,FM410 ,WHI,2023,1
VOLVO ,FM450 ,BLU,2023,1
VOLVO ,FM450 ,WHI,2023,3
VOLVO ,FM500 ,WHI,2023,3
VOLVO ,FM500 ,WHI,2024,1
VOLVO ,FM540 ,BLU,2024,1
VOLVO ,FM540 ,WHI,2023,2
VOLVO ,FM540 ,WHI,2024,7
VOLVO ,FM540 ,YLW,2023,1
VOLVO ,FMX460,WHI,2024,1
VOLVO ,FMX500,WHI,2024,7
VOLVO ,S60   ,BLK,2023,1
VOLVO ,S60   ,BLK,2024,1
VOLVO ,S60   ,WHI,2023,1
VOLVO ,V60   ,BLK,2024,1
VOLVO ,V60   ,GRY,2024,1
VOLVO ,XC40  ,BEI,2023,1
VOLVO ,XC40  ,BEI,2024,2
VOLVO ,XC40  ,BLK,2023,1
VOLVO ,XC40  ,BLK,2024,6
VOLVO ,XC40  ,BLU,2023,3
VOLVO ,XC40  ,BLU,2024,9
VOLVO ,XC40  ,FWN,2024,1
VOLVO ,XC40  ,GLD,2023,2
VOLVO ,XC40  ,GLD,2024,6
VOLVO ,XC40  ,GRN,2023,2
VOLVO ,XC40  ,GRN,2024,4
VOLVO ,XC40  ,GRY,2023,1
VOLVO ,XC40  ,GRY,2024,8
VOLVO ,XC40  ,SIL,2023,2
VOLVO ,XC40  ,SIL,2024,4
VOLVO ,XC40  ,WHI,2023,3
VOLVO ,XC40  ,WHI,2024,15
VOLVO ,XC40 B,BRZ,2024,1
VOLVO ,XC40 R,BLK,2024,1
VOLVO ,XC40 R,BLU,2023,1
VOLVO ,XC40 R,WHI,2024,1
VOLVO ,XC60  ,BEI,2024,2
VOLVO ,XC60  ,BLK,2023,2
VOLVO ,XC60  ,BLK,2024,8
VOLVO ,XC60  ,BLU,2024,3
VOLVO ,XC60  ,FWN,2023,2
VOLVO ,XC60  ,GLD,2023,1
VOLVO ,XC60  ,GLD,2024,1
VOLVO ,XC60  ,GRY,2023,2
VOLVO ,XC60  ,GRY,2024,6
VOLVO ,XC60  ,SIL,2023,1
VOLVO ,XC60  ,SIL,2024,2
VOLVO ,XC60  ,WHI,2023,1
VOLVO ,XC60  ,WHI,2024,4
VOLVO ,XC60 P,WHI,2024,1
VOLVO ,XC60 R,BLK,2024,1
VOLVO ,XC60 R,BLU,2024,1
VOLVO ,XC60 R,WHI,2024,1
VOLVO ,XC90  ,BLK,2023,1
VOLVO ,XC90  ,BLK,2024,3
VOLVO ,XC90  ,BLU,2023,1
VOLVO ,XC90  ,FWN,2024,1
VOLVO ,XC90  ,GRY,2023,2
VOLVO ,XC90  ,SIL,2024,1
VOLVO ,XC90  ,WHI,2023,2
VOLVO ,XC90 R,BLK,2024,1
WACKER,6003  ,YLW,2024,1
WACKER,EZ262 ,YLW,2024,1
WACKER,RC110 ,YLW,2023,1
WACKER,RC180 ,YLW,2024,1
WACKER,ST50  ,YLW,2024,1
WEICHA,VL280C,YLW,2023,1
WHITE ,FH540 ,WHI,2024,1
WHITE ,FM410 ,WHI,2024,1
WINTER,QUANTU,GRN,2023,1
WIRTGN,W100F ,WHI,2023,1
XPENG ,G6    ,BLU,2024,1
XPENG ,G6    ,OGE,2024,1
YAMAHA,AG 125,BLU,2024,1
YAMAHA,DELIGH,GRY,2024,1
YAMAHA,GPD150,WHI,2024,1
YAMAHA,GPD155,BLK,2024,1
YAMAHA,LTS125,WHI,2024,1
YAMAHA,M419E0,BLU,2023,1
YAMAHA,MT 09A,BLK,2023,1
YAMAHA,MT03  ,BLU,2023,2
YAMAHA,MT03  ,GRY,2023,3
YAMAHA,MT07  ,BLU,2023,1
YAMAHA,MT07  ,GRY,2023,1
YAMAHA,MT07HO,BLK,2024,1
YAMAHA,MT07L ,GRN,2023,1
YAMAHA,MT07LA,BLK,2023,1
YAMAHA,MT07LA,BLK,2024,1
YAMAHA,MT07LA,BLU,2023,2
YAMAHA,MT07LA,GRN,2023,1
YAMAHA,MT07LA,GRY,2023,1
YAMAHA,MT09  ,BLK,2023,1
YAMAHA,MT09  ,GRY,2023,1
YAMAHA,MT09 S,SIL,2023,1
YAMAHA,MT09A ,BLK,2024,2
YAMAHA,MT09AP,BLU,2023,1
YAMAHA,MT09AR,BLK,2024,1
YAMAHA,MT09AS,BLK,2023,1
YAMAHA,MT09AS,SIL,2023,1
YAMAHA,MT09TR,SIL,2023,1
YAMAHA,MT10  ,GRY,2023,1
YAMAHA,MT10AP,GRY,2023,1
YAMAHA,MTM890,BLK,2024,1
YAMAHA,MTM890,WHI,2024,1
YAMAHA,TENERE,BLK,2023,1
YAMAHA,WR250F,BLU,2023,3
YAMAHA,WR250F,BLU,2024,5
YAMAHA,WR450F,BLU,2023,5
YAMAHA,WR450F,BLU,2024,10
YAMAHA,XP560D,BRZ,2024,1
YAMAHA,XP560D,GRY,2024,1
YAMAHA,XSR700,BLK,2023,1
YAMAHA,XSR900,GRY,2024,2
YAMAHA,XSR900,RED,2024,1
YAMAHA,XTZ690,BLK,2023,1
YAMAHA,XTZ690,BLU,2023,2
YAMAHA,XTZ700,GRY,2023,1
YAMAHA,YXM700,BLU,2024,1
YAMAHA,YZ250 ,BLU,2024,1
YAMAHA,YZ450F,WHI,2024,1
YAMAHA,YZ85  ,BLU,2024,1
YAMAHA,YZF R1,BLK,2024,1
YAMAHA,YZFR15,BLK,2023,1
YAMAHA,YZFR1M,BLK,2024,1
YAMAHA,YZFR1R,BLK,2023,1
YAMAHA,YZFR3 ,BLK,2024,1
YAMAHA,YZFR3 ,PUR,2024,1
YAMAHA,YZFR3A,BLK,2024,3
YAMAHA,YZFR3A,BLU,2023,1
YAMAHA,YZFR3A,BLU,2024,3
YAMAHA,YZFR3A,WHI,2023,3
YAMAHA,YZFR3A,WHI,2024,5
YAMAHA,YZFR7H,BLU,2023,1
YAMAHA,YZFR7L,BLK,2023,2
YAMAHA,YZFR7L,BLK,2024,7
YAMAHA,YZFR7L,BLU,2024,2
YAMAHA,YZFR7L,GRY,2024,6
YANMAR,VI055 ,RED,2024,1
ZERO  ,SDS S ,BLU,2024,1
ZERO  ,SDS S ,GRY,2023,1
ZERO  ,SDS S ,GRY,2024,1
ZERO  ,XMX FX,WHI,2024,1

